epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5432.9,0.98313,0.92002,1.33186,0.9197,0.92366,0.96127,0.78936,0.74685,0.4491,1.04517,0.000265209,0.000265209,0.000265209
43,5689.36,0.99466,0.92239,1.33231,0.93803,0.94446,0.97095,0.78815,0.77419,0.42936,1.04406,0.00026436,0.00026436,0.00026436
44,5947.4,1.00809,0.95916,1.34941,0.93871,0.92511,0.96953,0.77948,0.79169,0.44515,1.05415,0.000263511,0.000263511,0.000263511
45,6205.94,0.99459,0.93449,1.33666,0.93119,0.93935,0.97009,0.77747,0.79574,0.43764,1.05118,0.000262663,0.000262663,0.000262663
46,6463.97,0.9896,0.92521,1.33663,0.94886,0.92887,0.97354,0.79627,0.75525,0.42403,1.04414,0.000261814,0.000261814,0.000261814
47,6723.33,0.98481,0.92292,1.33116,0.94445,0.93522,0.97063,0.81191,0.70051,0.41269,1.02299,0.000260966,0.000260966,0.000260966
48,6982.34,0.98495,0.90354,1.33077,0.93613,0.93281,0.96845,0.80022,0.72436,0.42245,1.03221,0.000260117,0.000260117,0.000260117
49,7240.31,0.98117,0.90704,1.32631,0.94191,0.94649,0.97331,0.80711,0.72089,0.40518,1.01554,0.000259269,0.000259269,0.000259269
50,7498.22,0.97532,0.89861,1.32219,0.9458,0.93906,0.97245,0.80229,0.73842,0.4078,1.02722,0.00025842,0.00025842,0.00025842
51,7755.14,0.96854,0.88537,1.31696,0.93986,0.9438,0.97087,0.81536,0.69818,0.40333,1.01676,0.000257571,0.000257571,0.000257571
52,8012.92,0.96492,0.88213,1.31746,0.95166,0.94114,0.97306,0.8285,0.65277,0.38687,0.99366,0.000256723,0.000256723,0.000256723
53,8270.96,0.95542,0.85594,1.30305,0.94581,0.9416,0.97704,0.82767,0.67917,0.38536,0.99839,0.000255874,0.000255874,0.000255874
54,8528.31,0.96844,0.8769,1.31182,0.94354,0.93892,0.97223,0.81152,0.70932,0.40449,1.00846,0.000255026,0.000255026,0.000255026
55,8786.9,0.95817,0.88131,1.30467,0.94962,0.93993,0.9759,0.81435,0.70418,0.38516,1.00269,0.000254177,0.000254177,0.000254177
56,9044.77,0.94909,0.86509,1.30189,0.94597,0.94492,0.97349,0.82647,0.66224,0.38607,1.00197,0.000253329,0.000253329,0.000253329
57,9301.84,0.94158,0.85473,1.29359,0.95213,0.945,0.97426,0.82713,0.66525,0.38152,0.99357,0.00025248,0.00025248,0.00025248
58,9558.92,0.94922,0.86939,1.30369,0.93877,0.95404,0.97508,0.83062,0.64525,0.38084,0.99503,0.000251631,0.000251631,0.000251631
59,9816.77,0.94452,0.8432,1.30351,0.94245,0.95104,0.97047,0.81685,0.69139,0.38685,1.01087,0.000250783,0.000250783,0.000250783
60,10074.5,0.9414,0.84906,1.29427,0.94744,0.95982,0.9785,0.82639,0.67348,0.37245,0.99914,0.000249934,0.000249934,0.000249934
61,10331.8,0.93802,0.83283,1.29238,0.94275,0.95027,0.9759,0.83089,0.65695,0.36665,0.98947,0.000249086,0.000249086,0.000249086
62,10589.6,0.93706,0.83911,1.29207,0.94656,0.95011,0.97691,0.83366,0.65496,0.36812,1.0001,0.000248237,0.000248237,0.000248237
63,10848.2,0.93122,0.82333,1.29196,0.95059,0.94,0.9741,0.83774,0.63503,0.36985,0.98389,0.000247389,0.000247389,0.000247389
64,11106.2,0.92945,0.82708,1.28652,0.94596,0.94241,0.977,0.83487,0.65407,0.36318,0.99409,0.00024654,0.00024654,0.00024654
65,265.812,0.91611,0.79992,1.28203,0.94786,0.94337,0.97646,0.83945,0.63741,0.37159,0.98419,0.000245691,0.000245691,0.000245691
66,545.399,0.92181,0.8113,1.28098,0.95311,0.94071,0.97584,0.83376,0.63913,0.36774,0.99342,0.000244843,0.000244843,0.000244843
67,818.409,0.92124,0.8129,1.2867,0.95366,0.94306,0.97693,0.83794,0.63437,0.36836,1.00033,0.000243994,0.000243994,0.000243994
68,1089.88,0.90898,0.80253,1.27589,0.94198,0.94915,0.97635,0.83975,0.63258,0.36466,0.9844,0.000243146,0.000243146,0.000243146
69,1367.63,0.90819,0.79587,1.27339,0.9502,0.95134,0.97681,0.84297,0.6211,0.36125,0.97513,0.000242297,0.000242297,0.000242297
70,1640.73,0.90008,0.78132,1.2663,0.94964,0.93526,0.97592,0.84672,0.60792,0.36361,0.98177,0.000241449,0.000241449,0.000241449
71,1915.86,0.89843,0.79166,1.27091,0.9526,0.94231,0.97643,0.84016,0.62977,0.35998,0.98884,0.0002406,0.0002406,0.0002406
72,2187.74,0.90044,0.79685,1.2746,0.94448,0.95019,0.97744,0.8425,0.61415,0.35024,0.97933,0.000239751,0.000239751,0.000239751
73,2460.04,0.88573,0.77294,1.25481,0.95586,0.93663,0.97561,0.83757,0.63099,0.35952,0.98232,0.000238903,0.000238903,0.000238903
74,2733.3,0.89528,0.77696,1.26345,0.95799,0.94522,0.97792,0.84701,0.61363,0.34484,0.97282,0.000238054,0.000238054,0.000238054
75,3006.27,0.88744,0.77343,1.26123,0.95449,0.95234,0.97835,0.84578,0.61566,0.34393,0.97969,0.000237206,0.000237206,0.000237206
76,3278.66,0.8854,0.75649,1.24504,0.95367,0.94122,0.97754,0.8384,0.63557,0.353,0.97302,0.000236357,0.000236357,0.000236357
77,3551.22,0.88354,0.77,1.2552,0.94834,0.94303,0.97716,0.84582,0.60842,0.34681,0.97126,0.000235509,0.000235509,0.000235509
78,3823.03,0.87702,0.75217,1.24608,0.96109,0.94526,0.9785,0.85169,0.60149,0.33854,0.97288,0.00023466,0.00023466,0.00023466
79,4096.7,0.88287,0.7591,1.25453,0.95526,0.94672,0.97797,0.85067,0.59402,0.34273,0.96624,0.000233811,0.000233811,0.000233811
80,4369.3,0.87563,0.74337,1.24693,0.94693,0.95717,0.97674,0.84781,0.59642,0.34049,0.96927,0.000232963,0.000232963,0.000232963
81,4641.48,0.87225,0.74058,1.24751,0.95302,0.9419,0.97626,0.84896,0.60136,0.34606,0.97704,0.000232114,0.000232114,0.000232114
82,4913.1,0.86871,0.73736,1.24056,0.95646,0.93658,0.97564,0.84763,0.6053,0.34383,0.9773,0.000231266,0.000231266,0.000231266
83,5185.12,0.86979,0.74041,1.2431,0.9583,0.93274,0.978,0.84822,0.59649,0.34069,0.97151,0.000230417,0.000230417,0.000230417
84,5457.39,0.86974,0.73446,1.24146,0.94982,0.95018,0.97947,0.84894,0.59986,0.33779,0.97312,0.000229569,0.000229569,0.000229569
85,5729.29,0.86344,0.73409,1.23921,0.93401,0.96133,0.97855,0.84939,0.60751,0.34526,0.97328,0.00022872,0.00022872,0.00022872
86,6000.01,0.85954,0.72293,1.23399,0.95522,0.94524,0.97888,0.85344,0.59622,0.33558,0.96987,0.000227871,0.000227871,0.000227871
87,6275.38,0.87198,0.74273,1.25046,0.95318,0.95546,0.97899,0.85115,0.60236,0.33599,0.97684,0.000227023,0.000227023,0.000227023
88,6546.64,0.86391,0.73515,1.24252,0.94311,0.96161,0.98012,0.85385,0.60379,0.33293,0.97652,0.000226174,0.000226174,0.000226174
89,6818.72,0.85381,0.73017,1.23535,0.95154,0.96331,0.98112,0.85529,0.60361,0.32561,0.97679,0.000225326,0.000225326,0.000225326
90,7096.6,0.85577,0.72621,1.23528,0.95323,0.95798,0.98036,0.85732,0.59664,0.32387,0.96795,0.000224477,0.000224477,0.000224477
91,7370.58,0.85089,0.7179,1.22499,0.9669,0.9549,0.98118,0.85788,0.58943,0.31971,0.96734,0.000223629,0.000223629,0.000223629
92,7645.57,0.84855,0.71834,1.22679,0.96318,0.94571,0.98002,0.85831,0.58275,0.3247,0.96189,0.00022278,0.00022278,0.00022278
93,7919.4,0.84628,0.72087,1.22984,0.95895,0.9468,0.97936,0.86293,0.56721,0.32183,0.95688,0.000221931,0.000221931,0.000221931
