epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6713.32,1.1226,1.14102,1.35985,0.92121,0.90975,0.95893,0.74228,0.91428,0.53388,1.06217,0.008614,0.008614,0.008614
44,6869.19,1.11635,1.11714,1.35947,0.91941,0.9113,0.95872,0.77225,0.79768,0.53103,1.02455,0.008581,0.008581,0.008581
45,7024.48,1.11053,1.11164,1.35064,0.9229,0.90771,0.9551,0.76775,0.79622,0.52825,1.02517,0.008548,0.008548,0.008548
46,7180.55,1.10458,1.09714,1.35098,0.91938,0.90106,0.95657,0.76912,0.79719,0.51938,1.015,0.008515,0.008515,0.008515
47,7336.48,1.10582,1.10733,1.35021,0.9053,0.91097,0.95687,0.78088,0.76552,0.51448,1.01257,0.008482,0.008482,0.008482
48,7493.32,1.0997,1.08661,1.34473,0.91627,0.90867,0.95438,0.78441,0.75154,0.52195,1.0137,0.008449,0.008449,0.008449
49,7649.7,1.09956,1.0849,1.34168,0.92173,0.90422,0.95629,0.76958,0.82873,0.51454,1.03812,0.008416,0.008416,0.008416
50,7804.78,1.10763,1.09678,1.34857,0.9258,0.90261,0.95682,0.77612,0.77945,0.50778,1.01168,0.008383,0.008383,0.008383
51,7960.49,1.09033,1.07755,1.34628,0.92834,0.9216,0.96252,0.74695,0.90911,0.50303,1.05385,0.00835,0.00835,0.00835
52,8116.15,1.1006,1.08554,1.34516,0.92498,0.90685,0.95645,0.76545,0.83193,0.5031,1.01922,0.008317,0.008317,0.008317
53,8271.17,1.08714,1.05679,1.3333,0.922,0.93448,0.9641,0.76985,0.83583,0.48586,1.03402,0.008284,0.008284,0.008284
54,8426.84,1.07129,1.04669,1.32688,0.92857,0.92022,0.96473,0.78457,0.77113,0.47825,1.00652,0.008251,0.008251,0.008251
55,8583.43,1.07515,1.03864,1.32911,0.92243,0.91183,0.9623,0.78305,0.78114,0.47747,1.00412,0.008218,0.008218,0.008218
56,8740.66,1.07624,1.04772,1.3283,0.92687,0.92045,0.9627,0.77313,0.8083,0.48319,1.00574,0.008185,0.008185,0.008185
57,8898.05,1.07349,1.03827,1.32396,0.91983,0.91721,0.96096,0.78025,0.76967,0.48498,0.99883,0.008152,0.008152,0.008152
58,9055.48,1.07669,1.04712,1.33106,0.91468,0.94763,0.96967,0.7865,0.77905,0.45644,0.99148,0.008119,0.008119,0.008119
59,9212.8,1.06313,1.02939,1.32011,0.92602,0.91402,0.96454,0.79212,0.75398,0.47361,0.98743,0.008086,0.008086,0.008086
60,9370.54,1.06077,1.02766,1.32087,0.93065,0.92722,0.96613,0.79032,0.75458,0.45544,0.9872,0.008053,0.008053,0.008053
61,9527.54,1.05772,1.01796,1.31895,0.93976,0.92015,0.96485,0.77826,0.80791,0.47413,1.00281,0.00802,0.00802,0.00802
62,9685.14,1.06199,1.03058,1.31918,0.93574,0.91866,0.96387,0.78339,0.77784,0.46586,0.99764,0.007987,0.007987,0.007987
63,9840.82,1.06108,1.01643,1.31699,0.93407,0.92665,0.96726,0.79336,0.75533,0.45243,0.99014,0.007954,0.007954,0.007954
64,9998.21,1.05447,1.00528,1.31127,0.94663,0.92158,0.96808,0.78976,0.77378,0.45445,0.99434,0.007921,0.007921,0.007921
65,10153.9,1.04872,1.00499,1.30819,0.92999,0.93073,0.96805,0.7994,0.74245,0.45103,0.98277,0.007888,0.007888,0.007888
66,10309.6,1.04296,0.98209,1.30933,0.9209,0.93879,0.97098,0.7933,0.75502,0.44439,0.98779,0.007855,0.007855,0.007855
67,10464.1,1.04729,1.003,1.30919,0.91948,0.94082,0.96885,0.80466,0.72557,0.44202,0.98493,0.007822,0.007822,0.007822
68,10620,1.04095,0.98836,1.30691,0.92251,0.94025,0.97049,0.81206,0.69942,0.42571,0.97594,0.007789,0.007789,0.007789
69,10776.2,1.04394,0.9935,1.30251,0.94035,0.92936,0.97004,0.82149,0.67744,0.42522,0.9653,0.007756,0.007756,0.007756
70,10933.3,1.0358,0.98344,1.30172,0.93403,0.91973,0.96685,0.81413,0.69214,0.43904,0.96391,0.007723,0.007723,0.007723
71,170.816,1.01257,0.94353,1.28441,0.93443,0.93605,0.96866,0.80755,0.71088,0.43216,0.97463,0.00769,0.00769,0.00769
72,339.062,1.02926,0.96888,1.2961,0.94136,0.92461,0.96811,0.80589,0.71343,0.42856,0.97416,0.007657,0.007657,0.007657
