epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.006,1.2427,3.68504,1.52741,0.27237,0.37238,0.25485,0.19943,0.82166,2.3286,1.15717,6.50222e-05,6.50222e-05,6.50222e-05
2,257.965,1.18217,2.33393,1.45505,0.45214,0.57678,0.54316,0.42973,0.81597,1.6339,1.16887,0.000128205,0.000128205,0.000128205
3,382.137,1.17833,1.94052,1.447,0.58446,0.53995,0.61651,0.46258,0.92672,1.57513,1.23215,0.000189231,0.000189231,0.000189231
4,507.014,1.16214,1.71291,1.43618,0.58153,0.6468,0.66254,0.49243,0.96133,1.40163,1.23779,0.000186298,0.000186298,0.000186298
5,631.581,1.11996,1.51254,1.40685,0.66565,0.70228,0.76406,0.59454,0.83016,1.08428,1.171,0.000183064,0.000183064,0.000183064
6,755.701,1.0829,1.40138,1.38565,0.63915,0.77639,0.81039,0.63413,0.79986,1.01895,1.14987,0.00017983,0.00017983,0.00017983
7,880.193,1.07695,1.3152,1.36865,0.72736,0.7182,0.80392,0.64709,0.75331,0.96784,1.13003,0.000176596,0.000176596,0.000176596
8,1004.16,1.05686,1.22901,1.36835,0.73651,0.77195,0.7957,0.63835,0.76404,0.98644,1.14063,0.000173362,0.000173362,0.000173362
9,1128.03,1.03617,1.15019,1.33758,0.75799,0.77011,0.83899,0.67401,0.75943,0.8856,1.13027,0.000170128,0.000170128,0.000170128
10,1251.71,0.99054,1.07494,1.31714,0.75982,0.83777,0.86612,0.71969,0.70002,0.77942,1.09906,0.000166894,0.000166894,0.000166894
11,1375.86,1.00194,1.07408,1.32006,0.77898,0.83709,0.8696,0.71342,0.7208,0.73366,1.06137,0.00016366,0.00016366,0.00016366
12,1499.59,0.97948,1.03377,1.30099,0.7601,0.82865,0.86504,0.70412,0.74321,0.77715,1.07699,0.000160426,0.000160426,0.000160426
13,1623.55,0.96577,0.95615,1.29167,0.83267,0.87461,0.89604,0.74698,0.68106,0.65445,1.05961,0.000157192,0.000157192,0.000157192
14,1746.92,0.9409,0.95464,1.27534,0.84648,0.8265,0.89013,0.74289,0.66699,0.68798,1.04474,0.000153958,0.000153958,0.000153958
15,1870.76,0.93725,0.90413,1.26554,0.847,0.83308,0.89997,0.7572,0.65862,0.63101,1.04564,0.000150724,0.000150724,0.000150724
16,1995.29,0.91317,0.86581,1.25609,0.80214,0.85291,0.89126,0.75506,0.64544,0.66652,1.04037,0.00014749,0.00014749,0.00014749
17,2119.5,0.90781,0.85051,1.24366,0.8556,0.86074,0.90689,0.77366,0.65757,0.61466,1.04576,0.000144256,0.000144256,0.000144256
18,2243.58,0.89072,0.83811,1.24645,0.87702,0.84916,0.92104,0.77912,0.63089,0.58985,1.02776,0.000141022,0.000141022,0.000141022
19,2367.84,0.87929,0.7832,1.23097,0.84344,0.88188,0.90646,0.77027,0.63596,0.58881,1.02763,0.000137788,0.000137788,0.000137788
20,2491.58,0.87056,0.79813,1.22507,0.8669,0.89596,0.92035,0.77441,0.62921,0.55692,1.02112,0.000134554,0.000134554,0.000134554
21,2615.46,0.85518,0.75546,1.21236,0.87261,0.87426,0.92301,0.78426,0.63275,0.55845,1.021,0.00013132,0.00013132,0.00013132
22,2739.55,0.83744,0.72388,1.19959,0.88782,0.88542,0.92409,0.78718,0.63367,0.52095,1.01069,0.000128086,0.000128086,0.000128086
23,2863.9,0.83927,0.72226,1.198,0.86217,0.87737,0.91259,0.77592,0.63861,0.57798,1.03209,0.000124852,0.000124852,0.000124852
24,2987.65,0.83892,0.7266,1.21232,0.87581,0.8983,0.92123,0.77921,0.64456,0.52572,1.02599,0.000121618,0.000121618,0.000121618
25,3111.73,0.82858,0.70633,1.20122,0.87791,0.90287,0.92838,0.79089,0.62638,0.5006,1.02089,0.000118384,0.000118384,0.000118384
26,3234.94,0.81129,0.6735,1.18067,0.87943,0.87999,0.91711,0.77885,0.62373,0.55822,1.04019,0.00011515,0.00011515,0.00011515
27,3357.97,0.79629,0.66994,1.18611,0.87458,0.88438,0.92123,0.7918,0.61376,0.5311,1.02398,0.000111916,0.000111916,0.000111916
28,3481.64,0.78335,0.62955,1.16077,0.88568,0.87992,0.93355,0.79672,0.63882,0.49685,1.02781,0.000108682,0.000108682,0.000108682
