epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4816,1.45389,4.19097,1.72588,0.20625,0.1716,0.10303,0.06321,1.36069,3.07104,1.42385,6.59341e-05,6.59341e-05,6.59341e-05
2,120.309,1.31222,3.1116,1.5714,0.26858,0.36444,0.25448,0.1718,1.26819,2.57432,1.40597,0.000131726,0.000131726,0.000131726
3,177.819,1.30443,2.64472,1.56067,0.40441,0.42771,0.3879,0.27274,1.09196,2.36784,1.32361,0.000196637,0.000196637,0.000196637
4,237.261,1.28892,2.37216,1.55407,0.51323,0.55482,0.53004,0.32589,1.40556,1.8031,1.54556,0.00019604,0.00019604,0.00019604
5,294.888,1.28217,2.0766,1.53214,0.48395,0.64178,0.61764,0.41456,1.23177,1.56243,1.38842,0.00019472,0.00019472,0.00019472
6,354.978,1.26809,1.99985,1.5351,0.5679,0.63156,0.656,0.41249,1.32351,1.46801,1.45324,0.0001934,0.0001934,0.0001934
7,412.061,1.24426,1.86834,1.51414,0.59758,0.68105,0.70287,0.4649,1.26132,1.37854,1.43871,0.00019208,0.00019208,0.00019208
8,469.637,1.21388,1.7735,1.50092,0.59631,0.70644,0.73287,0.53959,1.06166,1.25221,1.28408,0.00019076,0.00019076,0.00019076
9,526.687,1.20965,1.70696,1.48807,0.66313,0.70238,0.77652,0.56272,1.067,1.14069,1.28918,0.00018944,0.00018944,0.00018944
10,584.011,1.1876,1.6333,1.48222,0.64204,0.68436,0.74537,0.54498,1.05731,1.24367,1.28407,0.00018812,0.00018812,0.00018812
11,641.254,1.15198,1.51941,1.43627,0.73397,0.74898,0.81037,0.60573,0.97432,1.01458,1.23607,0.0001868,0.0001868,0.0001868
12,698.57,1.15757,1.462,1.44983,0.69278,0.75259,0.79273,0.58568,0.99903,1.10762,1.25576,0.00018548,0.00018548,0.00018548
13,755.914,1.13557,1.42169,1.42764,0.77007,0.78586,0.85304,0.65294,0.9327,0.92196,1.21571,0.00018416,0.00018416,0.00018416
14,813.457,1.14595,1.40798,1.4449,0.72595,0.80314,0.83011,0.62725,0.93262,0.96223,1.20718,0.00018284,0.00018284,0.00018284
15,871.068,1.12811,1.35746,1.43358,0.78474,0.76952,0.85061,0.64461,0.90587,0.90765,1.18689,0.00018152,0.00018152,0.00018152
16,928.388,1.10268,1.3186,1.42737,0.77613,0.79195,0.84988,0.65961,0.86381,0.94708,1.19152,0.0001802,0.0001802,0.0001802
17,986.404,1.11721,1.31535,1.43142,0.78544,0.75282,0.84218,0.63245,1.0142,0.91689,1.26628,0.00017888,0.00017888,0.00017888
